Czas (s),Kana³ 1 (g),Kana³ 2 (g),Kana³ 3 (g),Kana³ 4 (g)
1.280064003200159957e-02,7.997141902949571335e-02,2.865759284386617742e-02,4.518844805687204785e-02,2.556400750000000291e-02
1.290064503225161162e-02,7.567442702188391379e-02,2.797800808550186119e-02,4.790924018957347374e-02,1.811753010000000455e-02
1.300065003250162540e-02,8.148117297811607873e-02,2.933717760223048671e-02,4.478322369668247954e-02,1.946033750000000090e-02
1.310065503275163745e-02,8.119083568030446840e-02,2.882748903345724867e-02,4.750401582938390543e-02,2.422120010000000309e-02
1.320066003300164950e-02,7.886813729781161353e-02,3.092287537174721532e-02,4.657778872037916101e-02,2.318357620000000355e-02
1.330066503325166155e-02,7.712611351094196543e-02,3.290499758364312521e-02,4.628834274881517968e-02,2.281735600000000391e-02
1.340067003350167534e-02,7.538408972407231734e-02,2.877085697026022376e-02,4.478322369668247954e-02,2.525882399999999917e-02
1.350067503375168738e-02,7.979721665080874438e-02,2.945044172862453999e-02,4.871968890995262425e-02,2.593022770000000254e-02
1.360068003400169943e-02,7.393240323501426570e-02,2.582598968401488004e-02,4.698301308056872932e-02,2.269528260000000172e-02
1.370068503425171148e-02,6.922893901046621445e-02,2.254133001858736954e-02,4.443588853080570472e-02,2.110832840000000446e-02
1.380069003450172527e-02,7.695191113225499646e-02,2.871422490706320579e-02,4.709879146919433018e-02,2.281735600000000391e-02
1.390069503475173732e-02,7.381626831588962434e-02,2.775147983271376156e-02,4.848813213270144334e-02,2.330564960000000227e-02
1.400070003500174937e-02,7.520988734538534837e-02,2.078573605947956274e-02,4.258343431279622976e-02,2.025381460000000300e-02
1.410070503525176142e-02,6.795145490009514566e-02,2.724179126394052353e-02,4.316232625592418548e-02,2.043692470000000108e-02
1.420071003550177520e-02,7.811326032350142390e-02,3.046981886617100566e-02,4.680934549763034191e-02,2.202387890000000181e-02
1.430071503575178725e-02,7.300332388201710709e-02,2.860096078066915251e-02,4.414644255924172339e-02,2.446534690000000054e-02
1.440072003600179930e-02,7.642930399619408954e-02,2.792137602230483281e-02,4.617256436018958576e-02,2.300046610000000200e-02
1.450072503625181135e-02,7.131936755470978662e-02,2.384386747211895974e-02,4.843024293838863598e-02,2.580815430000000729e-02
1.460073003650182513e-02,7.027415328258801441e-02,2.565609349442379492e-02,4.333599383886257289e-02,2.104729170000000163e-02
1.470073503675183718e-02,7.242264928639390031e-02,2.922391347583643342e-02,4.941435924170617389e-02,2.269528260000000172e-02
1.480074003700184923e-02,7.555829210275927244e-02,2.650557444237918586e-02,4.594100758293840486e-02,2.409912670000000437e-02
1.490074503725186128e-02,6.766111760228352145e-02,2.514640492565057076e-02,4.599889677725119835e-02,2.672370480000000464e-02
1.500075003750187506e-02,6.528035176022835284e-02,2.237143382899628788e-02,3.806807715639812240e-02,1.823960350000000327e-02
1.510075503775188711e-02,5.749931217887725710e-02,2.186174526022306025e-02,4.003630976303319128e-02,2.202387890000000181e-02
1.520076003800189916e-02,5.715090742150333303e-02,2.163521700743495368e-02,3.598406616113745266e-02,2.263424590000000236e-02
1.530076503825191121e-02,5.256357811607991620e-02,1.840718940520447156e-02,3.129504142180097176e-02,2.629644789999999871e-02
1.540077003850192500e-02,5.111189162702187150e-02,2.004951923791822507e-02,3.436316872037915859e-02,1.994863110000000272e-02
1.550077503875193705e-02,5.093768924833490946e-02,2.123879256505575852e-02,2.892158445497632069e-02,1.921619070000000346e-02
1.560078003900194910e-02,4.530514567078972044e-02,1.591537862453532709e-02,2.666390587677727742e-02,2.239009910000000145e-02
1.570078503925196114e-02,4.472447107516650672e-02,1.189450213754648066e-02,2.463778407582939076e-02,1.726301630000000656e-02
